,Overall score,Entry standards,Student satisfaction,Research quality,Research intensity,Academic services spend,Facilities spend,Degree completion,Student -staff ratio,Graduate prospects – outcomes,Graduate prospects – on track
University of Plymouth,577,129,4.09,2.74,0.5,1736,521,83.9,17.1,74.8,78.0
University of Chichester,573,121,4.15,2.5,0.25,1116,795,86.5,14.9,66.1,75.2
University of Hull,573,123,4.05,2.7,0.56,1713,790,80.9,15.5,71.6,74.8
University of Chester,564,117,4.12,2.08,0.29,1917,971,81.0,14.7,65.8,76.1
Liverpool John Moores University,562,139,4.06,2.79,0.26,1332,439,82.7,17.3,66.1,70.9
University of Portsmouth,558,113,4.07,2.75,0.27,1512,652,83.5,16.3,69.2,72.8
University for the Creative Arts,556,130,4.04,2.72,0.1,2492,189,84.5,14.1,53.1,60.5
Liverpool Hope University,554,115,4.11,2.21,0.53,884,1268,82.6,14.8,58.4,72.6
Edinburgh Napier University,551,144,4.09,2.52,0.19,2120,328,80.2,19.9,71.7,77.5
Glasgow Caledonian University,551,163,4.07,2.67,0.24,1460,283,85.0,22.3,72.4,76.5
University of Roehampton,548,102,4.02,2.83,0.67,2229,810,77.5,15.2,57.1,69.6
University of Hertfordshire,545,104,4.04,2.61,0.21,1638,1122,82.0,15.6,69.3,74.3
University of Brighton,545,110,3.9,2.84,0.21,1373,542,82.9,16.7,74.6,78.4
Birmingham City University,541,119,4.01,2.64,0.14,1448,576,82.7,16.5,69.5,76.3
University of Salford,540,126,4.02,2.54,0.33,1182,803,80.2,16.8,70.3,76.0
Norwich University of the Arts,536,128,4.07,2.69,0.18,2079,566,83.6,15.6,53.3,63.2
University of Bradford,534,124,3.96,2.95,0.23,1424,772,83.6,18.7,73.1,79.4
Kingston University,534,116,4.02,2.7,0.16,2027,692,82.3,17.6,68.9,74.5
University of Worcester,530,114,4.14,2.08,0.3,1083,626,85.3,16.9,70.0,79.5
"Queen Margaret University, Edinburgh",526,153,4.02,2.65,0.22,1258,416,81.5,20.8,67.9,71.2
University of Central Lancashire,522,123,4.01,2.51,0.24,2060,508,72.3,14.3,69.2,74.1
University of Northampton,521,106,4.0,2.09,0.25,1958,1056,79.3,16.8,66.9,77.0
University of South Wales,515,115,4.08,2.51,0.16,1511,357,81.8,15.5,65.4,72.3
University of Sunderland,514,117,4.02,2.12,0.39,2013,632,77.5,15.5,61.1,71.3
University of Greenwich,514,115,3.98,2.33,0.25,1477,846,81.7,18.5,71.3,77.2
University of West London,512,115,4.22,1.92,0.13,1603,927,77.5,15.9,66.0,74.6
"Teesside University, Middlesbrough",508,114,4.08,2.58,0.14,1946,523,75.6,17.9,74.0,77.0
University of Derby,506,116,4.11,2.07,0.19,1461,441,78.5,14.7,65.2,74.7
Staffordshire University,500,115,4.14,2.2,0.33,1760,523,77.8,17.7,63.9,72.9
University of Gloucestershire,495,115,4.03,2.38,0.18,1538,499,80.7,17.3,62.4,73.2
Falmouth University,488,122,4.08,2.04,0.33,1152,452,84.7,15.3,58.5,65.5
University of Cumbria,485,120,4.03,2.13,0.08,1407,380,81.8,16.6,72.2,81.8
De Montfort University,481,105,3.93,2.67,0.3,1306,904,80.2,20.2,68.0,73.9
Buckinghamshire New University,477,104,4.1,2.19,0.09,2472,373,73.1,17.4,69.5,77.7
University of Wales Trinity Saint David,476,135,4.19,2.39,0.12,1140,587,78.7,18.8,53.4,70.5
University of the West of Scotland,476,133,4.06,2.36,0.22,1757,467,78.1,20.9,69.5,75.6
Bath Spa University,475,105,3.93,2.52,0.3,1659,506,84.4,18.0,59.8,69.2
University of Winchester,471,108,4.01,2.32,0.3,1239,465,84.3,17.4,62.5,72.1
Middlesex University,465,104,3.94,2.58,0.35,2544,368,76.1,17.5,59.1,69.0
London South Bank University,464,106,3.99,2.52,0.41,1927,263,75.3,16.8,69.8,76.0
Abertay University,463,140,4.23,2.16,0.36,1093,686,73.6,22.4,62.2,70.6
Leeds Beckett University,460,104,4.1,2.16,0.24,1487,675,77.6,20.0,67.3,73.6
York St John University,459,107,4.14,2.04,0.29,1334,595,84.4,18.1,63.5,74.0
"St Mary's University, Twickenham",459,104,4.09,1.98,0.23,1076,756,81.1,18.0,68.8,76.8
University of Bolton,452,110,4.18,2.04,0.2,1395,432,75.7,14.5,58.9,69.4
"University of Westminster, London",450,118,3.98,2.74,0.29,1283,567,80.1,20.9,60.5,67.4
Royal Agricultural University,449,113,3.98,1.4,0.26,2017,981,89.5,21.7,71.2,81.7
Plymouth Marjon University,444,115,4.18,,,996,720,78.3,16.4,66.9,83.0
Anglia Ruskin University,443,108,4.05,2.37,0.27,1064,420,79.8,20.0,72.8,77.2
Canterbury Christ Church University,434,97,3.94,2.38,0.23,1464,501,77.2,16.4,68.5,75.4
London Metropolitan University,433,95,4.09,2.44,0.15,2581,1210,68.0,18.5,56.1,67.1
Solent University (Southampton),431,109,4.12,1.63,0.07,1467,775,76.3,16.1,61.0,68.5
"Newman University, Birmingham",418,102,4.18,2.13,0.2,1360,336,75.4,17.7,59.8,77.9
Bishop Grosseteste University,404,105,4.12,1.96,0.17,1430,972,88.1,19.1,68.4,81.4
University of Buckingham,398,121,4.16,,,1024,542,85.0,18.8,71.4,70.8
University of Wolverhampton,397,105,4.02,2.31,0.31,1729,329,71.3,17.0,63.6,72.7
Leeds Trinity University,396,103,4.04,2.01,0.17,1483,505,81.3,22.9,64.0,76.3
University of Suffolk,395,110,3.96,,,1961,478,65.0,16.5,74.4,80.9
University of East London,374,97,4.0,2.71,0.23,1105,756,76.5,21.9,56.5,69.6
"Glyndwr University, Wrexham",364,102,4.14,2.15,0.16,1334,559,73.3,21.9,62.9,68.6
Ravensbourne University London,333,113,3.8,,,1163,322,79.7,22.6,70.0,77.5
University of Bedfordshire,304,103,3.93,2.52,0.27,1750,673,53.1,23.5,66.2,73.1
